Trial,S1_val,S1_std,S2_val,S2_std
63,-10.00,0.00,-10.00,1.00
64,-10.00,0.00,-10.00,1.00
65,-10.00,0.00,-10.00,1.00
66,-10.00,0.00,-10.00,1.00
67,-10.00,0.00,-10.00,1.00
68,-10.00,0.00,-10.00,1.00
69,-10.00,0.00,-10.00,1.00
70,-10.00,0.00,-10.00,1.00
71,-10.00,0.00,-10.00,1.00
72,-10.00,0.00,-10.00,1.00
73,-10.00,0.00,-10.00,1.00
74,-10.00,0.00,-10.00,1.00
75,-10.00,0.00,-10.00,1.00
76,-10.00,0.00,-10.00,1.00
77,-10.00,0.00,-10.00,1.00
78,-10.00,0.00,-10.00,1.00
79,-10.00,0.00,-10.00,1.00
80,-10.00,0.00,-10.00,1.00
81,-10.00,0.00,-10.00,1.00
82,-10.00,0.00,-10.00,1.00
83,-10.00,0.00,-10.00,1.00
84,-10.00,0.00,-10.00,1.00
85,-10.00,0.00,-10.00,1.00
86,-10.00,0.00,-10.00,1.00
87,-10.00,0.00,-10.00,1.00
88,-10.00,0.00,-10.00,1.00
89,-10.00,0.00,-10.00,1.00
90,-10.00,0.00,-10.00,1.00
91,-10.00,0.00,-10.00,1.00
92,-10.00,0.00,-10.00,1.00
93,-10.00,0.00,-10.00,1.00
94,-10.00,0.00,-10.00,1.00
95,-10.00,0.00,-10.00,1.00
96,-10.00,0.00,-10.00,1.00
97,-10.00,0.00,-10.00,1.00
98,-10.00,0.00,-10.00,1.00
99,-10.00,0.00,-10.00,1.00
100,-10.00,0.00,-10.00,1.00
101,-10.00,0.00,-10.00,2.00
102,-10.00,0.00,-10.00,2.00
103,-10.00,0.00,-10.00,2.00
104,-10.00,0.00,-10.00,2.00
105,-10.00,0.00,-10.00,2.00
106,-10.00,0.00,-10.00,2.00
107,-10.00,0.00,-10.00,2.00
108,-10.00,0.00,-10.00,2.00
109,-10.00,0.00,-10.00,2.00
110,-10.00,0.00,-10.00,2.00
111,-10.00,0.00,-10.00,2.00
112,-10.00,0.00,-10.00,2.00
113,-10.00,0.00,-10.00,2.00
114,-10.00,0.00,-10.00,2.00
115,-10.00,0.00,-10.00,2.00
116,-10.00,0.00,-10.00,2.00
117,-10.00,0.00,-10.00,2.00
118,-10.00,0.00,-10.00,2.00
119,-10.00,0.00,-10.00,2.00
120,-10.00,0.00,-10.00,2.00
121,-10.00,0.00,-10.00,2.00
122,-10.00,0.00,-10.00,2.00
123,-10.00,0.00,-10.00,2.00
124,-10.00,0.00,-10.00,2.00
125,-10.00,0.00,-10.00,2.00
126,-10.00,0.00,-10.00,2.00
127,-10.00,0.00,-10.00,2.00
128,-10.00,0.00,-10.00,2.00
129,-10.00,0.00,-10.00,2.00
130,-10.00,0.00,-10.00,2.00
131,-10.00,0.00,-10.00,2.00
132,-10.00,0.00,-10.00,2.00
133,-10.00,0.00,-10.00,2.00
134,-10.00,0.00,-10.00,2.00
135,-10.00,0.00,-10.00,2.00
136,-10.00,0.00,-10.00,2.00
137,-10.00,0.00,-10.00,2.00
138,-10.00,0.00,-10.00,2.00
139,-10.00,0.00,-10.00,2.00
140,-10.00,0.00,-10.00,2.00
141,-10.00,0.00,-10.00,2.00
142,-10.00,0.00,-10.00,2.00
143,-10.00,0.00,-10.00,2.00
144,-10.00,0.00,-10.00,2.00
145,-10.00,0.00,-10.00,2.00
146,-10.00,0.00,-10.00,2.00
147,-10.00,0.00,-10.00,2.00
148,-10.00,0.00,-10.00,2.00
149,-10.00,0.00,-10.00,2.00
150,-10.00,0.00,-10.00,2.00
151,-10.00,0.00,-10.00,3.00
152,-10.00,0.00,-10.00,3.00
153,-10.00,0.00,-10.00,3.00
154,-10.00,0.00,-10.00,3.00
155,-10.00,0.00,-10.00,3.00
156,-10.00,0.00,-10.00,3.00
157,-10.00,0.00,-10.00,3.00
158,-10.00,0.00,-10.00,3.00
159,-10.00,0.00,-10.00,3.00
160,-10.00,0.00,-10.00,3.00
161,-10.00,0.00,-10.00,3.00
162,-10.00,0.00,-10.00,3.00
163,-10.00,0.00,-10.00,3.00
164,-10.00,0.00,-10.00,3.00
165,-10.00,0.00,-10.00,3.00
166,-10.00,0.00,-10.00,3.00
167,-10.00,0.00,-10.00,3.00
168,-10.00,0.00,-10.00,3.00
169,-10.00,0.00,-10.00,3.00
170,-10.00,0.00,-10.00,3.00
171,-10.00,0.00,-10.00,3.00
172,-10.00,0.00,-10.00,3.00
173,-10.00,0.00,-10.00,3.00
174,-10.00,0.00,-10.00,3.00
175,-10.00,0.00,-10.00,3.00
176,-10.00,0.00,-10.00,3.00
177,-10.00,0.00,-10.00,3.00
178,-10.00,0.00,-10.00,3.00
179,-10.00,0.00,-10.00,3.00
180,-10.00,0.00,-10.00,3.00
181,-10.00,0.00,-10.00,3.00
182,-10.00,0.00,-10.00,3.00
183,-10.00,0.00,-10.00,3.00
184,-10.00,0.00,-10.00,3.00
185,-10.00,0.00,-10.00,3.00
186,-10.00,0.00,-10.00,3.00
187,-10.00,0.00,-10.00,3.00
188,-10.00,0.00,-10.00,3.00
189,-10.00,0.00,-10.00,3.00
190,-10.00,0.00,-10.00,3.00
191,-10.00,0.00,-10.00,3.00
192,-10.00,0.00,-10.00,3.00
193,-10.00,0.00,-10.00,3.00
194,-10.00,0.00,-10.00,3.00
195,-10.00,0.00,-10.00,3.00
196,-10.00,0.00,-10.00,3.00
197,-10.00,0.00,-10.00,3.00
198,-10.00,0.00,-10.00,3.00
199,-10.00,0.00,-10.00,3.00
200,-10.00,0.00,-10.00,3.00
201,-10.00,0.00,-10.00,4.00
202,-10.00,0.00,-10.00,4.00
203,-10.00,0.00,-10.00,4.00
204,-10.00,0.00,-10.00,4.00
205,-10.00,0.00,-10.00,4.00
206,-10.00,0.00,-10.00,4.00
207,-10.00,0.00,-10.00,4.00
208,-10.00,0.00,-10.00,4.00
209,-10.00,0.00,-10.00,4.00
210,-10.00,0.00,-10.00,4.00
211,-10.00,0.00,-10.00,4.00
212,-10.00,0.00,-10.00,4.00
213,-10.00,0.00,-10.00,4.00
214,-10.00,0.00,-10.00,4.00
215,-10.00,0.00,-10.00,4.00
216,-10.00,0.00,-10.00,4.00
217,-10.00,0.00,-10.00,4.00
218,-10.00,0.00,-10.00,4.00
219,-10.00,0.00,-10.00,4.00
220,-10.00,0.00,-10.00,4.00
221,-10.00,0.00,-10.00,4.00
222,-10.00,0.00,-10.00,4.00
223,-10.00,0.00,-10.00,4.00
224,-10.00,0.00,-10.00,4.00
225,-10.00,0.00,-10.00,4.00
226,-10.00,0.00,-10.00,4.00
227,-10.00,0.00,-10.00,4.00
228,-10.00,0.00,-10.00,4.00
229,-10.00,0.00,-10.00,4.00
230,-10.00,0.00,-10.00,4.00
231,-10.00,0.00,-10.00,4.00
232,-10.00,0.00,-10.00,4.00
233,-10.00,0.00,-10.00,4.00
234,-10.00,0.00,-10.00,4.00
235,-10.00,0.00,-10.00,4.00
236,-10.00,0.00,-10.00,4.00
237,-10.00,0.00,-10.00,4.00
238,-10.00,0.00,-10.00,4.00
239,-10.00,0.00,-10.00,4.00
240,-10.00,0.00,-10.00,4.00
241,-10.00,0.00,-10.00,4.00
242,-10.00,0.00,-10.00,4.00
243,-10.00,0.00,-10.00,4.00
244,-10.00,0.00,-10.00,4.00
245,-10.00,0.00,-10.00,4.00
246,-10.00,0.00,-10.00,4.00
247,-10.00,0.00,-10.00,4.00
248,-10.00,0.00,-10.00,4.00
249,-10.00,0.00,-10.00,4.00
250,-10.00,0.00,-10.00,4.00
251,-9.49,0.00,-9.49,0.00
252,-9.49,0.00,-9.49,0.00
253,-9.49,0.00,-9.49,0.00
254,-9.49,0.00,-9.49,0.00
255,-9.49,0.00,-9.49,0.00
256,-9.49,0.00,-9.49,0.00
257,-9.49,0.00,-9.49,0.00
258,-9.49,0.00,-9.49,0.00
259,-9.49,0.00,-9.49,0.00
260,-9.49,0.00,-9.49,0.00
261,-9.49,0.00,-9.49,0.00
262,-9.49,0.00,-9.49,0.00
263,-9.49,0.00,-9.49,0.00
264,-9.49,0.00,-9.49,0.00
265,-9.49,0.00,-9.49,0.00
266,-9.49,0.00,-9.49,0.00
267,-9.49,0.00,-9.49,0.00
268,-9.49,0.00,-9.49,0.00
269,-9.49,0.00,-9.49,0.00
270,-9.49,0.00,-9.49,0.00
271,-9.49,0.00,-9.49,0.00
272,-9.49,0.00,-9.49,0.00
273,-9.49,0.00,-9.49,0.00
274,-9.49,0.00,-9.49,0.00
275,-9.49,0.00,-9.49,0.00
276,-9.49,0.00,-9.49,0.00
277,-9.49,0.00,-9.49,0.00
278,-9.49,0.00,-9.49,0.00
279,-9.49,0.00,-9.49,0.00
280,-9.49,0.00,-9.49,0.00
281,-9.49,0.00,-9.49,0.00
282,-9.49,0.00,-9.49,0.00
283,-9.49,0.00,-9.49,0.00
284,-9.49,0.00,-9.49,0.00
285,-9.49,0.00,-9.49,0.00
286,-9.49,0.00,-9.49,0.00
287,-9.49,0.00,-9.49,0.00
288,-9.49,0.00,-9.49,0.00
289,-9.49,0.00,-9.49,0.00
290,-9.49,0.00,-9.49,0.00
291,-9.49,0.00,-9.49,0.00
292,-9.49,0.00,-9.49,0.00
293,-9.49,0.00,-9.49,0.00
294,-9.49,0.00,-9.49,0.00
295,-9.49,0.00,-9.49,0.00
296,-9.49,0.00,-9.49,0.00
297,-9.49,0.00,-9.49,0.00
298,-9.49,0.00,-9.49,0.00
299,-9.49,0.00,-9.49,0.00
300,-9.49,0.00,-9.49,0.00
301,-9.49,0.00,-9.49,1.00
302,-9.49,0.00,-9.49,1.00
303,-9.49,0.00,-9.49,1.00
304,-9.49,0.00,-9.49,1.00
305,-9.49,0.00,-9.49,1.00
306,-9.49,0.00,-9.49,1.00
307,-9.49,0.00,-9.49,1.00
308,-9.49,0.00,-9.49,1.00
309,-9.49,0.00,-9.49,1.00
310,-9.49,0.00,-9.49,1.00
311,-9.49,0.00,-9.49,1.00
312,-9.49,0.00,-9.49,1.00
313,-9.49,0.00,-9.49,1.00
314,-9.49,0.00,-9.49,1.00
315,-9.49,0.00,-9.49,1.00
316,-9.49,0.00,-9.49,1.00
317,-9.49,0.00,-9.49,1.00
318,-9.49,0.00,-9.49,1.00
319,-9.49,0.00,-9.49,1.00
320,-9.49,0.00,-9.49,1.00
321,-9.49,0.00,-9.49,1.00
322,-9.49,0.00,-9.49,1.00
323,-9.49,0.00,-9.49,1.00
324,-9.49,0.00,-9.49,1.00
325,-9.49,0.00,-9.49,1.00
326,-9.49,0.00,-9.49,1.00
327,-9.49,0.00,-9.49,1.00
328,-9.49,0.00,-9.49,1.00
329,-9.49,0.00,-9.49,1.00
330,-9.49,0.00,-9.49,1.00
331,-9.49,0.00,-9.49,1.00
332,-9.49,0.00,-9.49,1.00
333,-9.49,0.00,-9.49,1.00
334,-9.49,0.00,-9.49,1.00
335,-9.49,0.00,-9.49,1.00
336,-9.49,0.00,-9.49,1.00
337,-9.49,0.00,-9.49,1.00
338,-9.49,0.00,-9.49,1.00
339,-9.49,0.00,-9.49,1.00
340,-9.49,0.00,-9.49,1.00
341,-9.49,0.00,-9.49,1.00
342,-9.49,0.00,-9.49,1.00
343,-9.49,0.00,-9.49,1.00
344,-9.49,0.00,-9.49,1.00
345,-9.49,0.00,-9.49,1.00
346,-9.49,0.00,-9.49,1.00
347,-9.49,0.00,-9.49,1.00
348,-9.49,0.00,-9.49,1.00
349,-9.49,0.00,-9.49,1.00
350,-9.49,0.00,-9.49,1.00
351,-9.49,0.00,-9.49,2.00
352,-9.49,0.00,-9.49,2.00
353,-9.49,0.00,-9.49,2.00
354,-9.49,0.00,-9.49,2.00
355,-9.49,0.00,-9.49,2.00
356,-9.49,0.00,-9.49,2.00
357,-9.49,0.00,-9.49,2.00
358,-9.49,0.00,-9.49,2.00
359,-9.49,0.00,-9.49,2.00
360,-9.49,0.00,-9.49,2.00
361,-9.49,0.00,-9.49,2.00
362,-9.49,0.00,-9.49,2.00
363,-9.49,0.00,-9.49,2.00
364,-9.49,0.00,-9.49,2.00
365,-9.49,0.00,-9.49,2.00
366,-9.49,0.00,-9.49,2.00
367,-9.49,0.00,-9.49,2.00
368,-9.49,0.00,-9.49,2.00
369,-9.49,0.00,-9.49,2.00
370,-9.49,0.00,-9.49,2.00
371,-9.49,0.00,-9.49,2.00
372,-9.49,0.00,-9.49,2.00
373,-9.49,0.00,-9.49,2.00
374,-9.49,0.00,-9.49,2.00
375,-9.49,0.00,-9.49,2.00
376,-9.49,0.00,-9.49,2.00
377,-9.49,0.00,-9.49,2.00
378,-9.49,0.00,-9.49,2.00
379,-9.49,0.00,-9.49,2.00
380,-9.49,0.00,-9.49,2.00
381,-9.49,0.00,-9.49,2.00
382,-9.49,0.00,-9.49,2.00
383,-9.49,0.00,-9.49,2.00
384,-9.49,0.00,-9.49,2.00
385,-9.49,0.00,-9.49,2.00
386,-9.49,0.00,-9.49,2.00
387,-9.49,0.00,-9.49,2.00
388,-9.49,0.00,-9.49,2.00
389,-9.49,0.00,-9.49,2.00
390,-9.49,0.00,-9.49,2.00
391,-9.49,0.00,-9.49,2.00
392,-9.49,0.00,-9.49,2.00
393,-9.49,0.00,-9.49,2.00
394,-9.49,0.00,-9.49,2.00
395,-9.49,0.00,-9.49,2.00
396,-9.49,0.00,-9.49,2.00
397,-9.49,0.00,-9.49,2.00
398,-9.49,0.00,-9.49,2.00
399,-9.49,0.00,-9.49,2.00
400,-9.49,0.00,-9.49,2.00
401,-9.49,0.00,-9.49,3.00
402,-9.49,0.00,-9.49,3.00
403,-9.49,0.00,-9.49,3.00
404,-9.49,0.00,-9.49,3.00
405,-9.49,0.00,-9.49,3.00
406,-9.49,0.00,-9.49,3.00
407,-9.49,0.00,-9.49,3.00
408,-9.49,0.00,-9.49,3.00
409,-9.49,0.00,-9.49,3.00
410,-9.49,0.00,-9.49,3.00
411,-9.49,0.00,-9.49,3.00
412,-9.49,0.00,-9.49,3.00
413,-9.49,0.00,-9.49,3.00
414,-9.49,0.00,-9.49,3.00
415,-9.49,0.00,-9.49,3.00
416,-9.49,0.00,-9.49,3.00
417,-9.49,0.00,-9.49,3.00
418,-9.49,0.00,-9.49,3.00
419,-9.49,0.00,-9.49,3.00
420,-9.49,0.00,-9.49,3.00
421,-9.49,0.00,-9.49,3.00
422,-9.49,0.00,-9.49,3.00
423,-9.49,0.00,-9.49,3.00
424,-9.49,0.00,-9.49,3.00
425,-9.49,0.00,-9.49,3.00
426,-9.49,0.00,-9.49,3.00
427,-9.49,0.00,-9.49,3.00
428,-9.49,0.00,-9.49,3.00
429,-9.49,0.00,-9.49,3.00
430,-9.49,0.00,-9.49,3.00
431,-9.49,0.00,-9.49,3.00
432,-9.49,0.00,-9.49,3.00
433,-9.49,0.00,-9.49,3.00
434,-9.49,0.00,-9.49,3.00
435,-9.49,0.00,-9.49,3.00
436,-9.49,0.00,-9.49,3.00
437,-9.49,0.00,-9.49,3.00
438,-9.49,0.00,-9.49,3.00
439,-9.49,0.00,-9.49,3.00
440,-9.49,0.00,-9.49,3.00
441,-9.49,0.00,-9.49,3.00
442,-9.49,0.00,-9.49,3.00
443,-9.49,0.00,-9.49,3.00
444,-9.49,0.00,-9.49,3.00
445,-9.49,0.00,-9.49,3.00
446,-9.49,0.00,-9.49,3.00
447,-9.49,0.00,-9.49,3.00
448,-9.49,0.00,-9.49,3.00
449,-9.49,0.00,-9.49,3.00
450,-9.49,0.00,-9.49,3.00
451,-9.49,0.00,-9.49,4.00
452,-9.49,0.00,-9.49,4.00
453,-9.49,0.00,-9.49,4.00
454,-9.49,0.00,-9.49,4.00
455,-9.49,0.00,-9.49,4.00
456,-9.49,0.00,-9.49,4.00
457,-9.49,0.00,-9.49,4.00
458,-9.49,0.00,-9.49,4.00
459,-9.49,0.00,-9.49,4.00
460,-9.49,0.00,-9.49,4.00
461,-9.49,0.00,-9.49,4.00
462,-9.49,0.00,-9.49,4.00
463,-9.49,0.00,-9.49,4.00
464,-9.49,0.00,-9.49,4.00
465,-9.49,0.00,-9.49,4.00
466,-9.49,0.00,-9.49,4.00
467,-9.49,0.00,-9.49,4.00
468,-9.49,0.00,-9.49,4.00
469,-9.49,0.00,-9.49,4.00
470,-9.49,0.00,-9.49,4.00
471,-9.49,0.00,-9.49,4.00
472,-9.49,0.00,-9.49,4.00
473,-9.49,0.00,-9.49,4.00
474,-9.49,0.00,-9.49,4.00
475,-9.49,0.00,-9.49,4.00
476,-9.49,0.00,-9.49,4.00
477,-9.49,0.00,-9.49,4.00
478,-9.49,0.00,-9.49,4.00
479,-9.49,0.00,-9.49,4.00
480,-9.49,0.00,-9.49,4.00
481,-9.49,0.00,-9.49,4.00
482,-9.49,0.00,-9.49,4.00
483,-9.49,0.00,-9.49,4.00
484,-9.49,0.00,-9.49,4.00
485,-9.49,0.00,-9.49,4.00
486,-9.49,0.00,-9.49,4.00
487,-9.49,0.00,-9.49,4.00
488,-9.49,0.00,-9.49,4.00
489,-9.49,0.00,-9.49,4.00
490,-9.49,0.00,-9.49,4.00
491,-9.49,0.00,-9.49,4.00
492,-9.49,0.00,-9.49,4.00
493,-9.49,0.00,-9.49,4.00
494,-9.49,0.00,-9.49,4.00
495,-9.49,0.00,-9.49,4.00
496,-9.49,0.00,-9.49,4.00
497,-9.49,0.00,-9.49,4.00
498,-9.49,0.00,-9.49,4.00
499,-9.49,0.00,-9.49,4.00
500,-9.49,0.00,-9.49,4.00
501,-8.97,0.00,-8.97,0.00
502,-8.97,0.00,-8.97,0.00
503,-8.97,0.00,-8.97,0.00
504,-8.97,0.00,-8.97,0.00
505,-8.97,0.00,-8.97,0.00
506,-8.97,0.00,-8.97,0.00
507,-8.97,0.00,-8.97,0.00
508,-8.97,0.00,-8.97,0.00
509,-8.97,0.00,-8.97,0.00
510,-8.97,0.00,-8.97,0.00
511,-8.97,0.00,-8.97,0.00
512,-8.97,0.00,-8.97,0.00
513,-8.97,0.00,-8.97,0.00
514,-8.97,0.00,-8.97,0.00
515,-8.97,0.00,-8.97,0.00
516,-8.97,0.00,-8.97,0.00
517,-8.97,0.00,-8.97,0.00
518,-8.97,0.00,-8.97,0.00
519,-8.97,0.00,-8.97,0.00
520,-8.97,0.00,-8.97,0.00
521,-8.97,0.00,-8.97,0.00
522,-8.97,0.00,-8.97,0.00
523,-8.97,0.00,-8.97,0.00
524,-8.97,0.00,-8.97,0.00
525,-8.97,0.00,-8.97,0.00
526,-8.97,0.00,-8.97,0.00
527,-8.97,0.00,-8.97,0.00
528,-8.97,0.00,-8.97,0.00
529,-8.97,0.00,-8.97,0.00
530,-8.97,0.00,-8.97,0.00
531,-8.97,0.00,-8.97,0.00
532,-8.97,0.00,-8.97,0.00
533,-8.97,0.00,-8.97,0.00
534,-8.97,0.00,-8.97,0.00
535,-8.97,0.00,-8.97,0.00
536,-8.97,0.00,-8.97,0.00
537,-8.97,0.00,-8.97,0.00
538,-8.97,0.00,-8.97,0.00
539,-8.97,0.00,-8.97,0.00
540,-8.97,0.00,-8.97,0.00
541,-8.97,0.00,-8.97,0.00
542,-8.97,0.00,-8.97,0.00
543,-8.97,0.00,-8.97,0.00
544,-8.97,0.00,-8.97,0.00
545,-8.97,0.00,-8.97,0.00
546,-8.97,0.00,-8.97,0.00
547,-8.97,0.00,-8.97,0.00
548,-8.97,0.00,-8.97,0.00
549,-8.97,0.00,-8.97,0.00
550,-8.97,0.00,-8.97,0.00
551,-8.97,0.00,-8.97,1.00
552,-8.97,0.00,-8.97,1.00
553,-8.97,0.00,-8.97,1.00
554,-8.97,0.00,-8.97,1.00
555,-8.97,0.00,-8.97,1.00
556,-8.97,0.00,-8.97,1.00
557,-8.97,0.00,-8.97,1.00
558,-8.97,0.00,-8.97,1.00
559,-8.97,0.00,-8.97,1.00
560,-8.97,0.00,-8.97,1.00
561,-8.97,0.00,-8.97,1.00
562,-8.97,0.00,-8.97,1.00
563,-8.97,0.00,-8.97,1.00
564,-8.97,0.00,-8.97,1.00
565,-8.97,0.00,-8.97,1.00
566,-8.97,0.00,-8.97,1.00
567,-8.97,0.00,-8.97,1.00
568,-8.97,0.00,-8.97,1.00
569,-8.97,0.00,-8.97,1.00
570,-8.97,0.00,-8.97,1.00
571,-8.97,0.00,-8.97,1.00
572,-8.97,0.00,-8.97,1.00
573,-8.97,0.00,-8.97,1.00
574,-8.97,0.00,-8.97,1.00
575,-8.97,0.00,-8.97,1.00
576,-8.97,0.00,-8.97,1.00
577,-8.97,0.00,-8.97,1.00
578,-8.97,0.00,-8.97,1.00
579,-8.97,0.00,-8.97,1.00
580,-8.97,0.00,-8.97,1.00
581,-8.97,0.00,-8.97,1.00
582,-8.97,0.00,-8.97,1.00
583,-8.97,0.00,-8.97,1.00
584,-8.97,0.00,-8.97,1.00
585,-8.97,0.00,-8.97,1.00
586,-8.97,0.00,-8.97,1.00
587,-8.97,0.00,-8.97,1.00
588,-8.97,0.00,-8.97,1.00
589,-8.97,0.00,-8.97,1.00
590,-8.97,0.00,-8.97,1.00
591,-8.97,0.00,-8.97,1.00
592,-8.97,0.00,-8.97,1.00
593,-8.97,0.00,-8.97,1.00
594,-8.97,0.00,-8.97,1.00
595,-8.97,0.00,-8.97,1.00
596,-8.97,0.00,-8.97,1.00
597,-8.97,0.00,-8.97,1.00
598,-8.97,0.00,-8.97,1.00
599,-8.97,0.00,-8.97,1.00
600,-8.97,0.00,-8.97,1.00
601,-8.97,0.00,-8.97,2.00
602,-8.97,0.00,-8.97,2.00
603,-8.97,0.00,-8.97,2.00
604,-8.97,0.00,-8.97,2.00
605,-8.97,0.00,-8.97,2.00
606,-8.97,0.00,-8.97,2.00
607,-8.97,0.00,-8.97,2.00
608,-8.97,0.00,-8.97,2.00
609,-8.97,0.00,-8.97,2.00
610,-8.97,0.00,-8.97,2.00
611,-8.97,0.00,-8.97,2.00
612,-8.97,0.00,-8.97,2.00
613,-8.97,0.00,-8.97,2.00
614,-8.97,0.00,-8.97,2.00
615,-8.97,0.00,-8.97,2.00
616,-8.97,0.00,-8.97,2.00
617,-8.97,0.00,-8.97,2.00
618,-8.97,0.00,-8.97,2.00
619,-8.97,0.00,-8.97,2.00
620,-8.97,0.00,-8.97,2.00
621,-8.97,0.00,-8.97,2.00
622,-8.97,0.00,-8.97,2.00
623,-8.97,0.00,-8.97,2.00
624,-8.97,0.00,-8.97,2.00
625,-8.97,0.00,-8.97,2.00
626,-8.97,0.00,-8.97,2.00
627,-8.97,0.00,-8.97,2.00
628,-8.97,0.00,-8.97,2.00
629,-8.97,0.00,-8.97,2.00
630,-8.97,0.00,-8.97,2.00
631,-8.97,0.00,-8.97,2.00
632,-8.97,0.00,-8.97,2.00
633,-8.97,0.00,-8.97,2.00
634,-8.97,0.00,-8.97,2.00
635,-8.97,0.00,-8.97,2.00
636,-8.97,0.00,-8.97,2.00
637,-8.97,0.00,-8.97,2.00
638,-8.97,0.00,-8.97,2.00
639,-8.97,0.00,-8.97,2.00
640,-8.97,0.00,-8.97,2.00
641,-8.97,0.00,-8.97,2.00
642,-8.97,0.00,-8.97,2.00
643,-8.97,0.00,-8.97,2.00
644,-8.97,0.00,-8.97,2.00
645,-8.97,0.00,-8.97,2.00
646,-8.97,0.00,-8.97,2.00
647,-8.97,0.00,-8.97,2.00
648,-8.97,0.00,-8.97,2.00
649,-8.97,0.00,-8.97,2.00
650,-8.97,0.00,-8.97,2.00
651,-8.97,0.00,-8.97,3.00
652,-8.97,0.00,-8.97,3.00
653,-8.97,0.00,-8.97,3.00
654,-8.97,0.00,-8.97,3.00
655,-8.97,0.00,-8.97,3.00
656,-8.97,0.00,-8.97,3.00
657,-8.97,0.00,-8.97,3.00
658,-8.97,0.00,-8.97,3.00
659,-8.97,0.00,-8.97,3.00
660,-8.97,0.00,-8.97,3.00
661,-8.97,0.00,-8.97,3.00
662,-8.97,0.00,-8.97,3.00
663,-8.97,0.00,-8.97,3.00
664,-8.97,0.00,-8.97,3.00
665,-8.97,0.00,-8.97,3.00
666,-8.97,0.00,-8.97,3.00
667,-8.97,0.00,-8.97,3.00
668,-8.97,0.00,-8.97,3.00
669,-8.97,0.00,-8.97,3.00
670,-8.97,0.00,-8.97,3.00
671,-8.97,0.00,-8.97,3.00
672,-8.97,0.00,-8.97,3.00
673,-8.97,0.00,-8.97,3.00
674,-8.97,0.00,-8.97,3.00
675,-8.97,0.00,-8.97,3.00
676,-8.97,0.00,-8.97,3.00
677,-8.97,0.00,-8.97,3.00
678,-8.97,0.00,-8.97,3.00
679,-8.97,0.00,-8.97,3.00
680,-8.97,0.00,-8.97,3.00
681,-8.97,0.00,-8.97,3.00
682,-8.97,0.00,-8.97,3.00
683,-8.97,0.00,-8.97,3.00
684,-8.97,0.00,-8.97,3.00
685,-8.97,0.00,-8.97,3.00
686,-8.97,0.00,-8.97,3.00
687,-8.97,0.00,-8.97,3.00
688,-8.97,0.00,-8.97,3.00
689,-8.97,0.00,-8.97,3.00
690,-8.97,0.00,-8.97,3.00
691,-8.97,0.00,-8.97,3.00
692,-8.97,0.00,-8.97,3.00
693,-8.97,0.00,-8.97,3.00
694,-8.97,0.00,-8.97,3.00
695,-8.97,0.00,-8.97,3.00
696,-8.97,0.00,-8.97,3.00
697,-8.97,0.00,-8.97,3.00
