Trial,S1_val,S1_std,S2_val,S2_std,Decision (S1>S2)
221,-10,0,-10,3,0
222,-10,0,-10,3,0
223,-10,0,-10,3,0
224,-10,0,-10,3,0
225,-10,0,-10,3,0
226,-10,0,-10,3,0
227,-10,0,-10,3,0
228,-10,0,-10,3,0
229,-10,0,-10,3,0
230,-10,0,-10,3,0
231,-10,0,-10,3,0
232,-10,0,-10,3,0
233,-10,0,-10,3,0
234,-10,0,-10,3,0
235,-10,0,-10,3,0
236,-10,0,-10,3,0
237,-10,0,-10,3,0
238,-10,0,-10,3,0
239,-10,0,-10,3,0
240,-10,0,-10,3,0
241,-10,0,-10,3,0
242,-10,0,-10,3,0
243,-10,0,-10,3,0
244,-10,0,-10,3,0
245,-10,0,-10,3,0
246,-10,0,-10,3,0
247,-10,0,-10,3,0
248,-10,0,-10,3,0
249,-10,0,-10,3,0
250,-10,0,-10,3,0
251,-10,0,-10,3,0
252,-10,0,-10,3,0
253,-10,0,-10,3,0
254,-10,0,-10,3,0
255,-10,0,-10,3,0
256,-10,0,-10,3,0
257,-10,0,-10,3,0
258,-10,0,-10,3,0
259,-10,0,-10,3,0
260,-10,0,-10,3,0
261,-10,0,-10,3,0
262,-10,0,-10,3,0
263,-10,0,-10,3,0
264,-10,0,-10,3,0
265,-10,0,-10,3,0
266,-10,0,-10,3,0
267,-10,0,-10,3,0
268,-10,0,-10,3,0
269,-10,0,-10,3,0
270,-10,0,-10,3,0
271,-10,0,-10,3,0
272,-10,0,-10,3,0
273,-10,0,-10,3,0
274,-10,0,-10,3,0
275,-10,0,-10,3,0
276,-10,0,-10,3,0
277,-10,0,-10,3,0
278,-10,0,-10,3,0
279,-10,0,-10,3,0
280,-10,0,-10,3,0
281,-10,0,-10,3,0
282,-10,0,-10,3,0
283,-10,0,-10,3,0
284,-10,0,-10,3,0
285,-10,0,-10,3,0
286,-10,0,-10,3,0
287,-10,0,-10,3,0
288,-10,0,-10,3,0
289,-10,0,-10,3,0
290,-10,0,-10,3,0
291,-10,0,-10,3,0
292,-10,0,-10,3,0
293,-10,0,-10,3,0
294,-10,0,-10,3,0
295,-10,0,-10,3,0
296,-10,0,-10,3,0
297,-10,0,-10,3,0
298,-10,0,-10,3,0
299,-10,0,-10,3,0
300,-10,0,-10,3,0
301,-10,0,-10,4,0
302,-10,0,-10,4,0
303,-10,0,-10,4,0
304,-10,0,-10,4,0
305,-10,0,-10,4,0
306,-10,0,-10,4,0
307,-10,0,-10,4,0
308,-10,0,-10,4,0
309,-10,0,-10,4,0
310,-10,0,-10,4,0
311,-10,0,-10,4,0
312,-10,0,-10,4,0
313,-10,0,-10,4,0
314,-10,0,-10,4,0
315,-10,0,-10,4,0
316,-10,0,-10,4,0
317,-10,0,-10,4,0
318,-10,0,-10,4,0
319,-10,0,-10,4,0
320,-10,0,-10,4,0
321,-10,0,-10,4,0
322,-10,0,-10,4,0
323,-10,0,-10,4,0
324,-10,0,-10,4,0
325,-10,0,-10,4,0
326,-10,0,-10,4,0
327,-10,0,-10,4,0
328,-10,0,-10,4,0
329,-10,0,-10,4,0
330,-10,0,-10,4,0
331,-10,0,-10,4,0
332,-10,0,-10,4,0
333,-10,0,-10,4,0
334,-10,0,-10,4,0
335,-10,0,-10,4,0
336,-10,0,-10,4,0
337,-10,0,-10,4,0
338,-10,0,-10,4,0
339,-10,0,-10,4,0
340,-10,0,-10,4,0
341,-10,0,-10,4,0
342,-10,0,-10,4,0
343,-10,0,-10,4,0
344,-10,0,-10,4,0
345,-10,0,-10,4,0
346,-10,0,-10,4,0
347,-10,0,-10,4,0
348,-10,0,-10,4,0
349,-10,0,-10,4,0
350,-10,0,-10,4,0
351,-10,0,-10,4,0
352,-10,0,-10,4,0
353,-10,0,-10,4,0
354,-10,0,-10,4,0
355,-10,0,-10,4,0
356,-10,0,-10,4,0
357,-10,0,-10,4,0
358,-10,0,-10,4,0
359,-10,0,-10,4,0
360,-10,0,-10,4,0
361,-10,0,-10,4,0
362,-10,0,-10,4,0
363,-10,0,-10,4,0
364,-10,0,-10,4,0
365,-10,0,-10,4,0
366,-10,0,-10,4,0
367,-10,0,-10,4,0
368,-10,0,-10,4,0
369,-10,0,-10,4,0
370,-10,0,-10,4,0
371,-10,0,-10,4,0
372,-10,0,-10,4,0
373,-10,0,-10,4,0
374,-10,0,-10,4,0
375,-10,0,-10,4,0
376,-10,0,-10,4,0
377,-10,0,-10,4,0
378,-10,0,-10,4,0
379,-10,0,-10,4,0
380,-10,0,-10,4,0
381,-10,0,-10,4,0
382,-10,0,-10,4,0
383,-10,0,-10,4,0
384,-10,0,-10,4,0
385,-10,0,-10,4,0
386,-10,0,-10,4,0
387,-10,0,-10,4,0
388,-10,0,-10,4,0
389,-10,0,-10,4,0
390,-10,0,-10,4,0
391,-10,0,-10,4,0
392,-10,0,-10,4,0
393,-10,0,-10,4,0
394,-10,0,-10,4,0
395,-10,0,-10,4,0
396,-10,0,-10,4,0
397,-10,0,-10,4,0
398,-10,0,-10,4,0
399,-10,0,-10,4,0
400,-10,0,-10,4,0
401,-10,0,-10,5,0
402,-10,0,-10,5,0
403,-10,0,-10,5,0
404,-10,0,-10,5,0
405,-10,0,-10,5,0
406,-10,0,-10,5,0
407,-10,0,-10,5,0
408,-10,0,-10,5,0
409,-10,0,-10,5,0
410,-10,0,-10,5,0
411,-10,0,-10,5,0
412,-10,0,-10,5,0
413,-10,0,-10,5,0
414,-10,0,-10,5,0
415,-10,0,-10,5,0
416,-10,0,-10,5,0
417,-10,0,-10,5,0
418,-10,0,-10,5,0
419,-10,0,-10,5,0
420,-10,0,-10,5,0
421,-10,0,-10,5,0
422,-10,0,-10,5,0
423,-10,0,-10,5,0
424,-10,0,-10,5,0
425,-10,0,-10,5,0
426,-10,0,-10,5,0
427,-10,0,-10,5,0
428,-10,0,-10,5,0
429,-10,0,-10,5,0
430,-10,0,-10,5,0
431,-10,0,-10,5,0
432,-10,0,-10,5,0
433,-10,0,-10,5,0
434,-10,0,-10,5,0
435,-10,0,-10,5,0
436,-10,0,-10,5,0
437,-10,0,-10,5,0
438,-10,0,-10,5,0
439,-10,0,-10,5,0
440,-10,0,-10,5,0
441,-10,0,-10,5,0
442,-10,0,-10,5,0
443,-10,0,-10,5,0
444,-10,0,-10,5,0
445,-10,0,-10,5,0
446,-10,0,-10,5,0
447,-10,0,-10,5,0
448,-10,0,-10,5,0
449,-10,0,-10,5,0
450,-10,0,-10,5,0
451,-10,0,-10,5,0
452,-10,0,-10,5,0
453,-10,0,-10,5,0
454,-10,0,-10,5,0
455,-10,0,-10,5,0
456,-10,0,-10,5,0
457,-10,0,-10,5,0
458,-10,0,-10,5,0
459,-10,0,-10,5,0
460,-10,0,-10,5,0
461,-10,0,-10,5,0
462,-10,0,-10,5,0
463,-10,0,-10,5,0
464,-10,0,-10,5,0
465,-10,0,-10,5,0
466,-10,0,-10,5,0
467,-10,0,-10,5,0
468,-10,0,-10,5,0
469,-10,0,-10,5,0
470,-10,0,-10,5,0
471,-10,0,-10,5,0
472,-10,0,-10,5,0
473,-10,0,-10,5,0
474,-10,0,-10,5,0
475,-10,0,-10,5,0
476,-10,0,-10,5,0
477,-10,0,-10,5,0
478,-10,0,-10,5,0
479,-10,0,-10,5,0
480,-10,0,-10,5,0
481,-10,0,-10,5,0
482,-10,0,-10,5,0
483,-10,0,-10,5,0
484,-10,0,-10,5,0
485,-10,0,-10,5,0
486,-10,0,-10,5,0
487,-10,0,-10,5,0
488,-10,0,-10,5,0
489,-10,0,-10,5,0
490,-10,0,-10,5,0
491,-10,0,-10,5,0
492,-10,0,-10,5,0
493,-10,0,-10,5,0
494,-10,0,-10,5,0
495,-10,0,-10,5,0
496,-10,0,-10,5,0
497,-10,0,-10,5,0
498,-10,0,-10,5,0
499,-10,0,-10,5,0
500,-10,0,-10,5,0
501,-10,0,-10,6,0
502,-10,0,-10,6,0
503,-10,0,-10,6,0
504,-10,0,-10,6,0
505,-10,0,-10,6,0
506,-10,0,-10,6,0
507,-10,0,-10,6,0
508,-10,0,-10,6,0
509,-10,0,-10,6,0
510,-10,0,-10,6,0
511,-10,0,-10,6,0
512,-10,0,-10,6,0
513,-10,0,-10,6,0
514,-10,0,-10,6,0
515,-10,0,-10,6,0
516,-10,0,-10,6,0
517,-10,0,-10,6,0
518,-10,0,-10,6,0
519,-10,0,-10,6,0
520,-10,0,-10,6,0
521,-10,0,-10,6,0
522,-10,0,-10,6,0
523,-10,0,-10,6,0
524,-10,0,-10,6,0
525,-10,0,-10,6,0
526,-10,0,-10,6,0
527,-10,0,-10,6,0
528,-10,0,-10,6,0
529,-10,0,-10,6,0
530,-10,0,-10,6,0
531,-10,0,-10,6,0
532,-10,0,-10,6,0
533,-10,0,-10,6,0
534,-10,0,-10,6,0
535,-10,0,-10,6,0
536,-10,0,-10,6,0
537,-10,0,-10,6,0
538,-10,0,-10,6,0
539,-10,0,-10,6,0
540,-10,0,-10,6,0
541,-10,0,-10,6,0
542,-10,0,-10,6,0
543,-10,0,-10,6,0
544,-10,0,-10,6,0
545,-10,0,-10,6,0
546,-10,0,-10,6,0
547,-10,0,-10,6,0
548,-10,0,-10,6,0
549,-10,0,-10,6,0
550,-10,0,-10,6,0
551,-10,0,-10,6,0
552,-10,0,-10,6,0
553,-10,0,-10,6,0
554,-10,0,-10,6,0
555,-10,0,-10,6,0
556,-10,0,-10,6,0
557,-10,0,-10,6,0
558,-10,0,-10,6,0
559,-10,0,-10,6,0
560,-10,0,-10,6,0
561,-10,0,-10,6,0
562,-10,0,-10,6,0
563,-10,0,-10,6,0
564,-10,0,-10,6,0
565,-10,0,-10,6,0
566,-10,0,-10,6,0
567,-10,0,-10,6,0
568,-10,0,-10,6,0
569,-10,0,-10,6,0
570,-10,0,-10,6,0
571,-10,0,-10,6,0
572,-10,0,-10,6,0
573,-10,0,-10,6,0
574,-10,0,-10,6,0
575,-10,0,-10,6,0
576,-10,0,-10,6,0
577,-10,0,-10,6,0
578,-10,0,-10,6,0
579,-10,0,-10,6,0
580,-10,0,-10,6,0
581,-10,0,-10,6,0
582,-10,0,-10,6,0
583,-10,0,-10,6,0
584,-10,0,-10,6,0
585,-10,0,-10,6,0
586,-10,0,-10,6,0
587,-10,0,-10,6,0
588,-10,0,-10,6,0
589,-10,0,-10,6,0
590,-10,0,-10,6,0
591,-10,0,-10,6,0
592,-10,0,-10,6,0
593,-10,0,-10,6,0
594,-10,0,-10,6,0
595,-10,0,-10,6,0
596,-10,0,-10,6,0
597,-10,0,-10,6,0
598,-10,0,-10,6,0
599,-10,0,-10,6,0
600,-10,0,-10,6,0
601,-10,0,-10,7,0
602,-10,0,-10,7,0
603,-10,0,-10,7,0
604,-10,0,-10,7,0
605,-10,0,-10,7,0
606,-10,0,-10,7,0
607,-10,0,-10,7,0
608,-10,0,-10,7,0
609,-10,0,-10,7,0
610,-10,0,-10,7,0
611,-10,0,-10,7,0
612,-10,0,-10,7,0
613,-10,0,-10,7,0
614,-10,0,-10,7,0
615,-10,0,-10,7,0
616,-10,0,-10,7,0
617,-10,0,-10,7,0
618,-10,0,-10,7,0
619,-10,0,-10,7,0
620,-10,0,-10,7,0
621,-10,0,-10,7,0
622,-10,0,-10,7,0
623,-10,0,-10,7,0
624,-10,0,-10,7,0
625,-10,0,-10,7,0
626,-10,0,-10,7,0
627,-10,0,-10,7,0
628,-10,0,-10,7,0
629,-10,0,-10,7,0
630,-10,0,-10,7,0
631,-10,0,-10,7,0
632,-10,0,-10,7,0
633,-10,0,-10,7,0
634,-10,0,-10,7,0
635,-10,0,-10,7,0
636,-10,0,-10,7,0
637,-10,0,-10,7,0
638,-10,0,-10,7,0
639,-10,0,-10,7,0
640,-10,0,-10,7,0
641,-10,0,-10,7,0
642,-10,0,-10,7,0
643,-10,0,-10,7,0
644,-10,0,-10,7,0
645,-10,0,-10,7,0
646,-10,0,-10,7,0
647,-10,0,-10,7,0
648,-10,0,-10,7,0
649,-10,0,-10,7,0
650,-10,0,-10,7,0
651,-10,0,-10,7,0
652,-10,0,-10,7,0
653,-10,0,-10,7,0
654,-10,0,-10,7,0
655,-10,0,-10,7,0
656,-10,0,-10,7,0
657,-10,0,-10,7,0
658,-10,0,-10,7,0
659,-10,0,-10,7,0
660,-10,0,-10,7,0
661,-10,0,-10,7,0
662,-10,0,-10,7,0
663,-10,0,-10,7,0
664,-10,0,-10,7,0
665,-10,0,-10,7,0
666,-10,0,-10,7,0
667,-10,0,-10,7,0
668,-10,0,-10,7,0
669,-10,0,-10,7,0
670,-10,0,-10,7,0
671,-10,0,-10,7,0
672,-10,0,-10,7,0
673,-10,0,-10,7,0
674,-10,0,-10,7,0
675,-10,0,-10,7,0
676,-10,0,-10,7,0
677,-10,0,-10,7,0
678,-10,0,-10,7,0
679,-10,0,-10,7,0
680,-10,0,-10,7,0
681,-10,0,-10,7,0
682,-10,0,-10,7,0
683,-10,0,-10,7,0
684,-10,0,-10,7,0
685,-10,0,-10,7,0
686,-10,0,-10,7,0
687,-10,0,-10,7,0
688,-10,0,-10,7,0
689,-10,0,-10,7,0
690,-10,0,-10,7,0
691,-10,0,-10,7,0
692,-10,0,-10,7,0
693,-10,0,-10,7,0
694,-10,0,-10,7,0
695,-10,0,-10,7,0
696,-10,0,-10,7,0
697,-10,0,-10,7,0
698,-10,0,-10,7,0
699,-10,0,-10,7,0
700,-10,0,-10,7,0
701,-10,0,-10,8,0
702,-10,0,-10,8,0
703,-10,0,-10,8,0
704,-10,0,-10,8,0
705,-10,0,-10,8,0
706,-10,0,-10,8,0
707,-10,0,-10,8,0
708,-10,0,-10,8,0
709,-10,0,-10,8,0
710,-10,0,-10,8,0
711,-10,0,-10,8,0
712,-10,0,-10,8,0
713,-10,0,-10,8,0
714,-10,0,-10,8,0
715,-10,0,-10,8,0
716,-10,0,-10,8,0
717,-10,0,-10,8,0
718,-10,0,-10,8,0
719,-10,0,-10,8,0
720,-10,0,-10,8,0
721,-10,0,-10,8,0
722,-10,0,-10,8,0
723,-10,0,-10,8,0
724,-10,0,-10,8,0
725,-10,0,-10,8,0
726,-10,0,-10,8,0
727,-10,0,-10,8,0
728,-10,0,-10,8,0
729,-10,0,-10,8,0
730,-10,0,-10,8,0
731,-10,0,-10,8,0
732,-10,0,-10,8,0
733,-10,0,-10,8,0
734,-10,0,-10,8,0
735,-10,0,-10,8,0
736,-10,0,-10,8,0
737,-10,0,-10,8,0
738,-10,0,-10,8,0
739,-10,0,-10,8,0
740,-10,0,-10,8,0
741,-10,0,-10,8,0
742,-10,0,-10,8,0
743,-10,0,-10,8,0
744,-10,0,-10,8,0
745,-10,0,-10,8,0
746,-10,0,-10,8,0
747,-10,0,-10,8,0
748,-10,0,-10,8,0
749,-10,0,-10,8,0
750,-10,0,-10,8,0
751,-10,0,-10,8,0
752,-10,0,-10,8,0
753,-10,0,-10,8,0
754,-10,0,-10,8,0
755,-10,0,-10,8,0
756,-10,0,-10,8,0
757,-10,0,-10,8,0
758,-10,0,-10,8,0
759,-10,0,-10,8,0
760,-10,0,-10,8,0
761,-10,0,-10,8,0
762,-10,0,-10,8,0
763,-10,0,-10,8,0
764,-10,0,-10,8,0
765,-10,0,-10,8,0
766,-10,0,-10,8,0
767,-10,0,-10,8,0
768,-10,0,-10,8,0
769,-10,0,-10,8,0
770,-10,0,-10,8,0
771,-10,0,-10,8,0
772,-10,0,-10,8,0
773,-10,0,-10,8,0
774,-10,0,-10,8,0
775,-10,0,-10,8,0
776,-10,0,-10,8,0
777,-10,0,-10,8,0
778,-10,0,-10,8,0
779,-10,0,-10,8,0
780,-10,0,-10,8,0
781,-10,0,-10,8,0
782,-10,0,-10,8,0
783,-10,0,-10,8,0
784,-10,0,-10,8,0
785,-10,0,-10,8,0
786,-10,0,-10,8,0
787,-10,0,-10,8,0
788,-10,0,-10,8,0
789,-10,0,-10,8,0
790,-10,0,-10,8,0
791,-10,0,-10,8,0
792,-10,0,-10,8,0
793,-10,0,-10,8,0
794,-10,0,-10,8,0
795,-10,0,-10,8,0
796,-10,0,-10,8,0
797,-10,0,-10,8,0
798,-10,0,-10,8,0
799,-10,0,-10,8,0
800,-10,0,-10,8,0
801,-9.8,0,-9.8,1,0
802,-9.8,0,-9.8,1,0
803,-9.8,0,-9.8,1,0
804,-9.8,0,-9.8,1,0
805,-9.8,0,-9.8,1,0
806,-9.8,0,-9.8,1,0
807,-9.8,0,-9.8,1,0
808,-9.8,0,-9.8,1,0
809,-9.8,0,-9.8,1,0
810,-9.8,0,-9.8,1,0
811,-9.8,0,-9.8,1,0
812,-9.8,0,-9.8,1,0
813,-9.8,0,-9.8,1,0
814,-9.8,0,-9.8,1,0
815,-9.8,0,-9.8,1,0
816,-9.8,0,-9.8,1,0
817,-9.8,0,-9.8,1,0
818,-9.8,0,-9.8,1,0
819,-9.8,0,-9.8,1,0
820,-9.8,0,-9.8,1,0
821,-9.8,0,-9.8,1,0
822,-9.8,0,-9.8,1,0
823,-9.8,0,-9.8,1,0
824,-9.8,0,-9.8,1,0
825,-9.8,0,-9.8,1,0
826,-9.8,0,-9.8,1,0
827,-9.8,0,-9.8,1,0
828,-9.8,0,-9.8,1,0
829,-9.8,0,-9.8,1,0
830,-9.8,0,-9.8,1,0
831,-9.8,0,-9.8,1,0
832,-9.8,0,-9.8,1,0
833,-9.8,0,-9.8,1,0
834,-9.8,0,-9.8,1,0
835,-9.8,0,-9.8,1,0
836,-9.8,0,-9.8,1,0
837,-9.8,0,-9.8,1,0
838,-9.8,0,-9.8,1,0
839,-9.8,0,-9.8,1,0
840,-9.8,0,-9.8,1,0
841,-9.8,0,-9.8,1,0
842,-9.8,0,-9.8,1,0
843,-9.8,0,-9.8,1,0
844,-9.8,0,-9.8,1,0
845,-9.8,0,-9.8,1,0
846,-9.8,0,-9.8,1,0
847,-9.8,0,-9.8,1,0
848,-9.8,0,-9.8,1,0
849,-9.8,0,-9.8,1,0
850,-9.8,0,-9.8,1,0
851,-9.8,0,-9.8,1,0
852,-9.8,0,-9.8,1,0
853,-9.8,0,-9.8,1,0
854,-9.8,0,-9.8,1,0
855,-9.8,0,-9.8,1,0
856,-9.8,0,-9.8,1,0
857,-9.8,0,-9.8,1,0
858,-9.8,0,-9.8,1,0
859,-9.8,0,-9.8,1,0
860,-9.8,0,-9.8,1,0
861,-9.8,0,-9.8,1,0
862,-9.8,0,-9.8,1,0
863,-9.8,0,-9.8,1,0
864,-9.8,0,-9.8,1,0
865,-9.8,0,-9.8,1,0
866,-9.8,0,-9.8,1,0
867,-9.8,0,-9.8,1,0
868,-9.8,0,-9.8,1,0
869,-9.8,0,-9.8,1,0
870,-9.8,0,-9.8,1,0
871,-9.8,0,-9.8,1,0
872,-9.8,0,-9.8,1,0
873,-9.8,0,-9.8,1,0
874,-9.8,0,-9.8,1,0
875,-9.8,0,-9.8,1,0
876,-9.8,0,-9.8,1,0
877,-9.8,0,-9.8,1,0
878,-9.8,0,-9.8,1,0
879,-9.8,0,-9.8,1,0
880,-9.8,0,-9.8,1,0
881,-9.8,0,-9.8,1,0
882,-9.8,0,-9.8,1,0
883,-9.8,0,-9.8,1,0
884,-9.8,0,-9.8,1,0
885,-9.8,0,-9.8,1,0
886,-9.8,0,-9.8,1,0
887,-9.8,0,-9.8,1,0
888,-9.8,0,-9.8,1,0
889,-9.8,0,-9.8,1,0
890,-9.8,0,-9.8,1,0
891,-9.8,0,-9.8,1,0
892,-9.8,0,-9.8,1,0
893,-9.8,0,-9.8,1,0
894,-9.8,0,-9.8,1,0
895,-9.8,0,-9.8,1,0
896,-9.8,0,-9.8,1,0
897,-9.8,0,-9.8,1,0
898,-9.8,0,-9.8,1,0
899,-9.8,0,-9.8,1,0
900,-9.8,0,-9.8,1,0
901,-9.8,0,-9.8,2,0
902,-9.8,0,-9.8,2,0
903,-9.8,0,-9.8,2,0
904,-9.8,0,-9.8,2,0
905,-9.8,0,-9.8,2,0
906,-9.8,0,-9.8,2,0
907,-9.8,0,-9.8,2,0
908,-9.8,0,-9.8,2,0
909,-9.8,0,-9.8,2,0
910,-9.8,0,-9.8,2,0
911,-9.8,0,-9.8,2,0
912,-9.8,0,-9.8,2,0
913,-9.8,0,-9.8,2,0
914,-9.8,0,-9.8,2,0
915,-9.8,0,-9.8,2,0
916,-9.8,0,-9.8,2,0
917,-9.8,0,-9.8,2,0
918,-9.8,0,-9.8,2,0
919,-9.8,0,-9.8,2,0
920,-9.8,0,-9.8,2,0
921,-9.8,0,-9.8,2,0
922,-9.8,0,-9.8,2,0
923,-9.8,0,-9.8,2,0
924,-9.8,0,-9.8,2,0
925,-9.8,0,-9.8,2,0
926,-9.8,0,-9.8,2,0
927,-9.8,0,-9.8,2,0
928,-9.8,0,-9.8,2,0
929,-9.8,0,-9.8,2,0
930,-9.8,0,-9.8,2,0
931,-9.8,0,-9.8,2,0
932,-9.8,0,-9.8,2,0
933,-9.8,0,-9.8,2,0
934,-9.8,0,-9.8,2,0
935,-9.8,0,-9.8,2,0
936,-9.8,0,-9.8,2,0
937,-9.8,0,-9.8,2,0
938,-9.8,0,-9.8,2,0
939,-9.8,0,-9.8,2,0
940,-9.8,0,-9.8,2,0
941,-9.8,0,-9.8,2,0
942,-9.8,0,-9.8,2,0
943,-9.8,0,-9.8,2,0
944,-9.8,0,-9.8,2,0
945,-9.8,0,-9.8,2,0
946,-9.8,0,-9.8,2,0
947,-9.8,0,-9.8,2,0
948,-9.8,0,-9.8,2,0
949,-9.8,0,-9.8,2,0
950,-9.8,0,-9.8,2,0
951,-9.8,0,-9.8,2,0
